Destination,count
"2603:6081:2700:7550:2da2:1aa4:37a3:b1ad",20206
"192.168.1.204",1978
"2a06:98c1:310b::ac40:9bd1",1310
"2603:6081:2700:7550::1",1210
"2607:f8b0:4002:c08::8b",1102
"2607:f8b0:4002:c08::66",936
"192.168.1.1",680
"2600:1900:4110:86f::",602
"20.60.236.129",436
"239.255.255.250",284
"224.0.0.251",188
"35.164.170.66",160
"20.69.137.228",152
"2607:f8b0:4002:c11::5e",148
"2a06:98c1:3107::6812:2715",144
"44.214.249.190",128
"2607:f8b0:4002:c11::64",126
"ff02::fb",120
"2607:f8b0:4002:c09::5e",116
"2607:f8b0:4002:c11::71",98
"2607:f8b0:4002:c09::8b",96
"2607:f8b0:4002:c03::be",90
"2607:f8b0:4002:c02::65",88
"2600:1402:8000:12::173e:3dea",84
"2607:f8b0:4002:c11::8a",82
"2607:f8b0:4002:c05::5f",74
"140.82.114.25",70
"2607:f8b0:4002:c09::88",68
"192.168.1.230",64
"2607:f8b0:4002:c08::67",64
"2607:f8b0:4002:c03::5d",62
"2607:f8b0:4002:c08::5e",62
"98.83.128.81",60
"2600:1402:8000:7::1700:a271",58
"2600:1901:0:47fc::",58
"2620:1ec:33:1::11",58
"2620:1ec:33:1::12",54
"2607:f8b0:4002:c09::71",50
"44.205.141.113",48
"ff02::1",46
"107.22.82.21",44
"2a06:98c1:3100::6812:202f",42
"2603:1030:a07:a::401",40
"2607:f8b0:4002:c03::6a",40
"2607:f8b0:4002:c08::bc",40
"34.203.24.151",38
"2607:f8b0:4002:c09::5f",36
Broadcast,36
"2607:f8b0:4002:c08::5f",34
"54.198.96.232",34
"140.82.112.4",32
"18.211.121.233",30
"192.168.1.255",30
"3.162.112.55",30
"3.170.3.19",30
"20.42.65.88",28
"2603:1063:9:153::365:7ea3",28
"2607:f8b0:4002:c0c::5e",28
"2607:f8b0:4002:c10::54",28
"2607:f8b0:4002:c2c::5e",28
"2620:1ec:50::17",28
"18.207.5.64",26
"2607:f8b0:4002:c03::88",26
"2607:f8b0:4002:c2c::54",26
"3.162.112.19",26
"34.234.6.17",26
"13.107.137.11",24
"2600:1402:8000:485::4106",24
"2607:f8b0:4002:c00::9c",24
"3.232.186.157",24
"2607:f8b0:4002:c00::71",22
"44.222.2.231",22
"98.95.215.114",22
"20.135.6.11",20
"2607:f8b0:4002:c10::5f",20
"35.168.28.131",20
"224.0.0.252",16
"2607:f8b0:4002:c02::93",14
"fe80::4e19:5dff:fe8b:accc",14
"ff02::16",14
"2a04:4e42:3::684",12
"Intel_3c:19:87",10
"SagemcomBroa_8b:ac:cc",10
"ff02::1:3",10
"2620:1ec:bdf::40",8
"ff02::c",8
"140.82.113.26",6
"224.0.0.1",6
"224.0.0.22",6
"2600:1402:8000:7::1700:a26d",6
"ff05::c",6
"2600:1402:8000:7::1700:a26c",4
"2620:1ec:46::254",4
"44.218.189.99",4
"HP_e2:f1:eb",2
